unique_id,agency_name
705,Prescott Valley Police Department
706,Prescott Valley Police Department
707,Prescott Valley Police Department
702,Escondido Police Department
701,DeKalb County Police Department
703,"Ontario Police Department, La Verne Police Department"
710,Washington County Sheriff's Office
711,Washington County Sheriff's Office
708,Pierce County Sheriff's Office
709,Atlanta Police Department
712,Iowa State Patrol
713,Iowa State Patrol
714,Las Vegas Metropolitan Police Department
715,Los Angeles Police Department
22263,Winchester Police Department
716,Gainesville Police Department
717,Cincinnati Police Department
719,Adams County Sheriff's Office
19439,"Kutztown Borough Police Department, Fleetwood Police Department"
22695,Hamilton County Sheriff's Office
718,Kansas City Police Department
720,"Capitola Police Department, Santa Cruz Police Department"
721,"Cozad Police Department, Lexington Police Department"
722,"Cozad Police Department, Lexington Police Department"
21603,Boardman Police Department
723,Rosedale Police Department
725,St. Louis County Police Department
726,Manteca Police Department
727,Manteca Police Department
724,Raytown Police Department
728,Denver Police Department
729,Knox County Sheriff's Office
730,Odessa Police Department
731,Las Vegas Metropolitan Police Department
22694,Knox County Sheriff's Office
